price,timestamp
"{'opening': 25867.9, 'closing': 25894.1, 'high': 25911.6, 'low': 25867.9, 'volume': 3417903.7}",2023-09-06 18:05:00
"{'opening': 25874.7, 'closing': 25790.5, 'high': 25874.7, 'low': 25751.4, 'volume': 5779233.2}",2023-09-06 18:10:00
"{'opening': 25778.9, 'closing': 25744.3, 'high': 25800.3, 'low': 25728.8, 'volume': 4507449.899999999}",2023-09-06 18:15:00
"{'opening': 25741.3, 'closing': 25637.6, 'high': 25741.3, 'low': 25565.4, 'volume': 6439754.100000001}",2023-09-06 18:20:00
"{'opening': 25610.6, 'closing': 25672.3, 'high': 25685.1, 'low': 25600.1, 'volume': 4335340.8}",2023-09-06 18:25:00
"{'opening': 25675.6, 'closing': 25665.2, 'high': 25676.2, 'low': 25620.5, 'volume': 1282844.4}",2023-09-06 18:30:00
